userId_movieId,rating
10_1358,0.4
237_1544,0.7
54_373,1.0
11_2053,0.8
183_2524,0.6
397_920,0.8
120_6811,0.4
27_7162,0.9
287_79132,1.0
543_532,0.4
422_2750,0.7
199_1394,1.0
279_5938,0.1
249_442,0.6
634_60069,0.3
226_6658,0.7
588_1101,0.5
445_382,0.8
224_8865,0.6
535_4066,0.4
545_85056,0.4
76_1409,0.3
313_2248,1.0
389_1278,1.0
189_266,0.6
418_4963,0.9
11_2748,0.7
329_4282,0.8
430_113741,0.6
442_2144,0.6
495_6874,0.4
76_32,0.3
660_62,1.0
539_110102,1.0
632_6016,0.8
535_6514,0.1
147_1010,0.3
18_65,0.6
76_1917,0.3
495_1997,0.7
221_112852,0.7
558_1960,0.9
476_1373,0.8
54_1041,0.8
663_1375,0.6
429_3260,0.6
307_2654,0.8
419_305,0.6
118_4306,0.8
663_6947,0.8
287_4262,0.6
432_2115,0.5
644_4958,1.0
507_6,0.8
582_47423,0.6
442_382,0.8
149_527,0.8
219_3869,0.4
622_6664,0.8
608_1199,0.8
122_1407,0.9
98_8720,0.5
15_838,0.6
267_1726,0.2
558_5346,0.8
427_932,1.0
210_88179,0.8
45_2455,0.5
41_5313,0.2
555_2355,0.6
469_42011,0.6
166_1270,0.9
340_2683,0.8
119_60,0.6
226_7207,0.6
274_778,1.0
253_4973,0.9
444_2918,0.7
578_594,0.8
18_3017,0.8
46_3202,1.0
307_3480,0.8
530_3114,0.8
11_4291,0.8
189_410,0.6
573_54281,0.8
445_6218,0.7
382_5055,0.8
266_4886,0.6
537_33681,0.7
85_5782,1.0
101_40815,0.9
572_3704,0.5
663_858,1.0
428_881,0.8
641_2454,0.6
316_1411,1.0
431_163,0.8
81_60074,0.4
598_86,0.2
10_2676,0.6
222_2571,1.0
550_5952,0.8
12_1197,1.0
287_608,1.0
419_6879,0.5
440_595,0.6
415_19,0.6
287_2294,0.4
344_2371,0.8
442_457,1.0
596_1391,0.6
471_48,0.8
479_58347,0.9
476_2746,1.0
545_107953,0.6
668_30707,0.5
543_481,0.6
85_924,0.2
76_59315,1.0
119_382,0.4
93_196,0.4
431_3148,0.8
475_3408,0.6
490_748,0.8
354_6539,0.6
516_111,1.0
127_597,0.9
428_1363,0.8
573_3481,0.9
608_8157,0.8
621_54732,0.8
495_1258,0.7
668_5464,0.7
612_47,1.0
446_50,1.0
419_4571,0.6
442_5293,1.0
534_3285,0.4
226_362,0.6
529_2692,1.0
208_153,0.6
442_2883,0.8
196_65261,0.6
378_2424,0.8
546_1293,1.0
226_6822,0.6
652_6059,1.0
545_52694,0.2
535_4963,0.8
313_3146,1.0
305_6047,0.7
276_2502,0.8
531_4993,0.9
418_2628,0.1
74_7371,0.9
11_5943,0.8
540_440,0.8
183_1073,0.6
99_3578,0.7
558_3436,0.8
307_3115,1.0
658_3504,0.9
299_25771,0.9
287_132961,0.6
469_180,0.7
498_44195,0.8
466_2808,0.5
620_1197,1.0
107_954,0.8
20_1589,0.6
594_2916,0.8
196_49649,0.7
84_1234,0.9
287_3362,0.7
419_1483,0.4
568_282,0.6
119_364,1.0
179_3556,0.8
404_802,1.0
18_2021,0.8
313_3330,1.0
380_1283,0.8
660_2490,1.0
567_589,0.6
568_50,1.0
56_2944,0.6
520_8464,0.7
602_661,0.6
505_161,0.6
621_2321,0.6
201_852,0.8
109_1,0.9
41_32,0.6
460_5618,0.8
604_1353,0.8
101_6539,0.6
601_54281,1.0
134_3471,0.8
313_2622,0.2
73_4034,0.6
429_3967,1.0
667_765,0.8
305_114122,0.7
34_1997,0.1
543_1261,0.8
559_318,0.8
655_785,0.7
477_3578,0.8
389_44,0.6
40_2985,0.8
305_112399,0.9
543_293,0.8
469_2159,0.6
247_43908,0.7
8_549,0.9
589_5266,1.0
287_7438,0.1
499_1394,0.8
442_4316,0.6
98_8534,0.5
86_4361,0.9
96_50912,0.7
439_1036,0.8
650_555,1.0
180_1221,1.0
105_41571,0.9
305_3948,0.8
333_81845,0.9
247_3556,0.8
305_905,0.8
663_2073,0.8
197_380,0.8
87_5141,0.6
393_4033,0.7
226_2875,0.4
545_7147,0.8
195_31101,0.8
469_1240,0.9
622_5954,0.8
41_2617,0.5
408_141,0.8
359_719,0.4
359_2858,1.0
418_440,0.5
87_2712,0.8
403_2702,0.6
168_2133,0.6
226_1094,0.6
168_3448,1.0
361_106782,1.0
322_255,1.0
624_2694,0.6
211_1610,1.0
445_4979,0.7
408_592,0.7
425_609,0.6
107_1252,0.8
73_1680,0.9
519_2329,0.1
99_1103,0.5
442_1961,1.0
308_104,0.2
305_3007,0.9
531_7373,0.6
127_1198,0.9
457_4734,0.3
558_3681,0.7
309_33646,0.6
305_2065,0.6
0_1527,1.0
589_3967,0.6
27_1693,0.9
54_1615,0.8
307_3341,0.8
307_2465,1.0
563_1089,0.6
419_8191,0.9
442_1285,0.8
150_1347,0.6
574_296,0.8
419_535,0.6
127_1917,0.7
275_3735,1.0
107_333,0.6
533_316,0.8
226_1183,0.4
543_1175,0.8
402_6530,1.0
305_2076,1.0
87_15,0.4
419_2334,0.6
281_4262,0.8
451_2003,0.6
401_1997,0.8
403_1970,0.8
590_2719,0.4
535_39183,0.6
569_1562,0.6
27_1257,0.7
320_8636,0.8
41_6874,0.6
501_1270,1.0
307_3939,0.6
582_8622,0.8
101_2329,0.8
489_434,0.6
419_342,0.6
571_3108,1.0
589_40412,0.9
445_923,0.8
622_48142,0.6
305_37277,0.2
382_105,0.1
244_1956,0.8
200_1201,0.9
40_26606,0.9
307_2259,0.8
293_1569,1.0
305_8535,0.4
98_4749,0.4
107_1377,0.6
545_44195,0.7
400_1263,0.6
618_8529,0.7
316_950,1.0
393_5630,0.7
422_1219,0.8
347_1961,0.7
76_1527,0.8
2_66544,0.6
195_5445,0.6
281_52973,0.5
226_6232,0.6
41_7238,0.8
461_3213,0.8
663_2459,0.6
274_47,0.6
105_118696,0.8
258_2318,1.0
98_784,0.4
307_1690,0.8
51_3510,0.8
520_260,0.9
547_4973,0.9
197_317,0.6
475_1101,0.6
67_74916,0.9
254_30793,1.0
125_3791,0.8
344_3809,0.6
294_349,0.6
549_4270,0.8
469_165,0.7
167_2947,0.8
22_608,1.0
449_440,0.8
638_6016,1.0
147_6428,0.6
134_6777,0.8
307_122,0.8
572_70286,0.3
86_2858,0.8
